OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10140,10397,1,1,10,0.16666666666666666
10140,10397,2,2,8,0.3
10140,10397,3,0,3,0.2
10140,10397,4,1,11,0.15384615384615385
10140,10397,5,0,9,0.09090909090909091
10140,10397,6,0,3,0.2
10140,10397,7,0,9,0.09090909090909091
10140,10821,1,0,5,0.14285714285714285
10140,10821,2,0,4,0.16666666666666666
10140,10821,3,1,7,0.2222222222222222
10140,10821,4,0,5,0.14285714285714285
10140,10821,5,0,5,0.14285714285714285
10140,10821,6,1,8,0.2
10140,10821,7,0,4,0.16666666666666666
10140,11259,1,2,22,0.125
10140,11259,2,4,23,0.2
10140,11259,3,3,26,0.14285714285714285
10140,11259,4,7,24,0.3076923076923077
10140,11259,5,5,27,0.20689655172413793
10140,11259,6,2,13,0.2
10140,11259,7,3,14,0.25
10140,11292,1,4,25,0.18518518518518517
10140,11292,2,6,27,0.2413793103448276
10140,11292,3,8,30,0.28125
10140,11292,4,8,28,0.3
10140,11292,5,5,24,0.23076923076923078
10140,11292,6,4,25,0.18518518518518517
10140,11292,7,6,26,0.25
10140,11298,1,2,30,0.09375
10140,11298,2,8,19,0.42857142857142855
10140,11298,3,6,27,0.2413793103448276
10140,11298,4,5,28,0.2
10140,11298,5,3,27,0.13793103448275862
10140,11298,6,6,22,0.2916666666666667
10140,11298,7,4,21,0.21739130434782608
10140,12191,1,2,8,0.3
10140,12191,2,1,9,0.18181818181818182
10140,12191,3,5,13,0.4
10140,12191,4,2,13,0.2
10140,12191,5,2,9,0.2727272727272727
10140,12191,6,0,9,0.09090909090909091
10140,12191,7,3,10,0.3333333333333333
10140,12264,1,1,5,0.2857142857142857
10140,12264,2,0,3,0.2
10140,12264,3,0,7,0.1111111111111111
10140,12264,4,1,2,0.5
10140,12264,5,0,2,0.25
10140,12264,6,0,4,0.16666666666666666
10140,12264,7,1,10,0.16666666666666666
10140,12266,1,4,19,0.23809523809523808
10140,12266,2,1,6,0.25
10140,12266,3,2,9,0.2727272727272727
10140,12266,4,2,14,0.1875
10140,12266,5,1,8,0.2
10140,12266,6,2,11,0.23076923076923078
10140,12266,7,2,11,0.23076923076923078
10140,12478,1,0,4,0.16666666666666666
10140,12478,2,1,2,0.5
10140,12478,3,1,4,0.3333333333333333
10140,12478,4,1,4,0.3333333333333333
10140,12478,5,2,3,0.6
10140,12478,6,0,2,0.25
10140,12478,7,1,5,0.2857142857142857
10140,12889,1,2,13,0.2
10140,12889,2,2,14,0.1875
10140,12889,3,5,21,0.2608695652173913
10140,12889,4,7,25,0.2962962962962963
10140,12889,5,6,17,0.3684210526315789
10140,12889,6,1,13,0.13333333333333333
10140,12889,7,2,19,0.14285714285714285
10140,12892,1,5,26,0.21428571428571427
10140,12892,2,4,29,0.16129032258064516
10140,12892,3,6,33,0.2
10140,12892,4,7,25,0.2962962962962963
10140,12892,5,4,34,0.1388888888888889
10140,12892,6,3,21,0.17391304347826086
10140,12892,7,4,26,0.17857142857142858
10140,13198,1,0,2,0.25
10140,13198,2,0,2,0.25
10140,13198,3,2,5,0.42857142857142855
10140,13198,4,1,2,0.5
10140,13198,5,1,4,0.3333333333333333
10140,13198,6,0,2,0.25
10140,13198,7,0,2,0.25
10140,13204,1,0,1,0.3333333333333333
10140,13204,2,0,2,0.25
10140,13204,3,1,2,0.5
10140,13204,4,2,4,0.5
10140,13204,6,1,4,0.3333333333333333
10140,13204,7,1,2,0.5
10140,13232,1,1,5,0.2857142857142857
10140,13232,2,3,10,0.3333333333333333
10140,13232,3,2,7,0.3333333333333333
10140,13232,4,2,5,0.42857142857142855
10140,13232,5,3,10,0.3333333333333333
10140,13232,6,6,8,0.7
10140,13232,7,0,2,0.25
10140,13487,1,1,4,0.3333333333333333
10140,13487,2,0,6,0.125
10140,13487,3,0,3,0.2
10140,13487,4,2,9,0.2727272727272727
10140,13487,5,0,4,0.16666666666666666
10140,13487,6,1,6,0.25
10140,13487,7,0,4,0.16666666666666666
10140,13796,1,2,10,0.25
10140,13796,2,5,15,0.35294117647058826
10140,13796,3,1,4,0.3333333333333333
10140,13796,4,2,10,0.25
10140,13796,5,1,8,0.2
